title,price,link
N/A,N/A,N/A
"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN","67,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1ODE3MjIwNjIzNzYyNzM4OjE3MjU5NzE0MjI6c3BfYXRmX25leHQ6MzAwMjQ2MDg5NjYwNzMyOjowOjo&url=%2FMSI-i5-13420H-Windows-GeForce-B13UC-1805IN%2Fdp%2FB0CV9J1QSM%2Fref%3Dsr_1_17_sspa%3Fcrid%3D3HKD1SIJKEIJS%26dib%3DeyJ2IjoiMSJ9.nXhJothAN7OV7nulP5ajH-if9-gZt6C6060mF9v42SipxsCH9PloixlkhNZrzR-mMGLFuyUmXYFQYcIVcVKSQwkHFDKt6Ub5Ks3zuBMzvHRcsbcvwiHhQl23bXh2BIe4CfLXcWvYtLfU6mebTF6ejxcY3F6e9RuC8i0TGdMNfys9ookXDOc1DetpIseHkpnX-8usE9O-UMgwxa9snKBvSpSZGdfcDOBmV8TtucHik8o.4fJF0eM76c0eVskin4lkaDOIuz3hDJlZEDUyK6y_tBg%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725971422%26sprefix%3Dla%252Caps%252C435%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Lenovo ThinkBook 16 Intel 13th Gen Core i3 16"" (40.64cm) WUXGA 300 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Win 11 Home/Office 2021/Arctic Grey/1.7 Kg), 21KHA0J5IN","40,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1ODE3MjIwNjIzNzYyNzM4OjE3MjU5NzE0MjI6c3BfYXRmX25leHQ6MzAwMTY2NjY2MTk4MDMyOjowOjo&url=%2FLenovo-ThinkBook-16-Antiglare-21KHA0J5IN%2Fdp%2FB0CZ7CBQXP%2Fref%3Dsr_1_18_sspa%3Fcrid%3D3HKD1SIJKEIJS%26dib%3DeyJ2IjoiMSJ9.nXhJothAN7OV7nulP5ajH-if9-gZt6C6060mF9v42SipxsCH9PloixlkhNZrzR-mMGLFuyUmXYFQYcIVcVKSQwkHFDKt6Ub5Ks3zuBMzvHRcsbcvwiHhQl23bXh2BIe4CfLXcWvYtLfU6mebTF6ejxcY3F6e9RuC8i0TGdMNfys9ookXDOc1DetpIseHkpnX-8usE9O-UMgwxa9snKBvSpSZGdfcDOBmV8TtucHik8o.4fJF0eM76c0eVskin4lkaDOIuz3hDJlZEDUyK6y_tBg%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725971422%26sprefix%3Dla%252Caps%252C435%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Office 2021/Backlit Keyboard/FPR/Black/1.41 kg), 21JKS0UA00","71,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1ODE3MjIwNjIzNzYyNzM4OjE3MjU5NzE0MjI6c3BfbXRmOjMwMDE0ODEwMDgyOTMzMjo6MDo6&url=%2FLenovo-ThinkPad-E14-Keyboard-21JKS0UA00%2Fdp%2FB0CSYS3TPS%2Fref%3Dsr_1_27_sspa%3Fcrid%3D3HKD1SIJKEIJS%26dib%3DeyJ2IjoiMSJ9.nXhJothAN7OV7nulP5ajH-if9-gZt6C6060mF9v42SipxsCH9PloixlkhNZrzR-mMGLFuyUmXYFQYcIVcVKSQwkHFDKt6Ub5Ks3zuBMzvHRcsbcvwiHhQl23bXh2BIe4CfLXcWvYtLfU6mebTF6ejxcY3F6e9RuC8i0TGdMNfys9ookXDOc1DetpIseHkpnX-8usE9O-UMgwxa9snKBvSpSZGdfcDOBmV8TtucHik8o.4fJF0eM76c0eVskin4lkaDOIuz3hDJlZEDUyK6y_tBg%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725971422%26sprefix%3Dla%252Caps%252C435%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
First Look Unisex Multipurpose Polyester Animal Print 30 Ltr Backpack Bag with Padded Laptop Compartment and Multiple Pockets,349,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NjExNjQ0NDcyNDI0NzczOjE3MjU5NzE0OTM6c3BfYXRmX25leHQ6MzAwMzMwMjUyMDM5MDMyOjowOjo&url=%2FFirst-Look-Multipurpose-Polyester-Compartment%2Fdp%2FB0D6Z28VB7%2Fref%3Dsr_1_98_sspa%3Fcrid%3D3HKD1SIJKEIJS%26dib%3DeyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725971493%26sprefix%3Dla%252Caps%252C435%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W","22,940",https://amazon.in//ASUS-Vivobook-35-56-1920-1080/dp/B0CZXM6V2X/ref=sr_1_99?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-99
"(Renewed) DELL Latitude 5490 Core i5 8th Gen Laptop, 8 GB RAM, 256GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","17,699",https://amazon.in//Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BD4CHCB5/ref=sr_1_100?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-100
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Thin and Light Metal Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel UHD Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG","32,779",https://amazon.in//Acer-i3-1215U-Windows-Graphics-AL15-52/dp/B0CY1Z82QW/ref=sr_1_101?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-101
"Dell Inspiorn 5630 Laptop, Intel 13th Gen i7-1360P Processor, 16GB LP DDR5, 1TB SSD, 16.0"" FHD+ 300 nits Display, Backlit KB + FPR, Win 11 + MSO'21 & 15 Month, Silver, Thin & Light- 1.85kg McAfee,","91,699",https://amazon.in//Dell-Inspiorn-i7-1360P-Processor-Display/dp/B0CX1T4HKC/ref=sr_1_102?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-102
"Lenovo [Smartchoice] LOQ 12th Gen Intel Core i5-12450HX /39.6cm/ 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/100% sRGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN","71,490",https://amazon.in//Lenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN/dp/B0CX8XPKWJ/ref=sr_1_103?crid=3HKD1SIJKEIJS&dib=eyJ2IjoiMSJ9.ttvlJ88hl75V0RTVW6l112z8TbajfESLMcya3mI47s6R1VeOi8scbfpkZqyxrh5uBhQrgp4zBGYJPktRiljMsDxW0xO_PvzVAVPLs6iGf9erEdYM9ZiKgE02RtqomvqI7djzZ-RwmSn7WNBwSPdrbnvXtPnXVFoxSLX5taADSE2r5IzBa40wV4sy7_9X8JVRsHgLjQ-k58hOTxHR05mrd4C3vHM8sOgEiqdNL2FZFdQ.5H_ou5-q4meqJJ3iudO-xLMwnu1DRMxLPPDBcDn3zRk&dib_tag=se&keywords=laptop&qid=1725971493&sprefix=la%2Caps%2C435&sr=8-103
